cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
GL,304,GRL,,False,Americas,False,2166086.0,56367,,officially-assigned,False,North America
CX,162,CXR,,False,Oceania,False,135.0,2072,,officially-assigned,False,Australia and New Zealand
PN,612,PCN,,False,Oceania,False,47.0,56,,officially-assigned,False,Polynesia
EH,732,ESH,,False,Africa,False,266000.0,510713,,officially-assigned,False,Northern Africa
MS,500,MSR,,False,Americas,False,102.0,4922,MSR,officially-assigned,False,Caribbean
BH,048,BHR,BHR,True,Asia,False,765.0,1701583,BHR,officially-assigned,True,Western Asia
DO,214,DOM,DOM,True,Americas,False,48671.0,10847904,DOM,officially-assigned,True,Caribbean
US,840,USA,USA,True,Americas,False,9372610.0,329484123,USA,officially-assigned,True,North America
CK,184,COK,COK,False,Oceania,False,236.0,18100,COK,officially-assigned,False,Polynesia
CO,170,COL,COL,True,Americas,False,1141748.0,50882884,COL,officially-assigned,True,South America
GN,324,GIN,GUI,True,Africa,False,245857.0,13132792,GUI,officially-assigned,True,Western Africa
IE,372,IRL,IRL,True,Europe,False,70273.0,4994724,IRL,officially-assigned,True,Northern Europe
MV,462,MDV,MDV,True,Asia,False,300.0,540542,MDV,officially-assigned,True,Southern Asia
PA,591,PAN,PAN,True,Americas,False,75417.0,4314768,PAN,officially-assigned,True,Central America
MZ,508,MOZ,MOZ,True,Africa,False,801590.0,31255435,MOZ,officially-assigned,True,Eastern Africa
OM,512,OMN,OMA,True,Asia,False,309500.0,5106622,OMA,officially-assigned,True,Western Asia
CZ,203,CZE,CZE,True,Europe,True,78865.0,10698896,CZE,officially-assigned,True,Central Europe
HM,334,HMD,,False,Antarctic,False,412.0,0,,officially-assigned,False,
VC,670,VCT,VIN,True,Americas,False,389.0,110947,VIN,officially-assigned,True,Caribbean
HT,332,HTI,HAI,True,Americas,False,27750.0,11402533,HAI,officially-assigned,True,Caribbean
NG,566,NGA,NGR,True,Africa,False,923768.0,206139587,NGA,officially-assigned,True,Western Africa
VG,092,VGB,IVB,False,Americas,False,151.0,30237,VGB,officially-assigned,False,Caribbean
NA,516,NAM,NAM,True,Africa,False,825615.0,2540916,NAM,officially-assigned,True,Southern Africa
DM,212,DMA,DMA,True,Americas,False,751.0,71991,DMA,officially-assigned,True,Caribbean
CA,124,CAN,CAN,True,Americas,False,9984670.0,38005238,CAN,officially-assigned,True,North America
GG,831,GGY,,False,Europe,False,78.0,62999,,officially-assigned,False,Northern Europe
NE,562,NER,NIG,True,Africa,True,1267000.0,24206636,NIG,officially-assigned,True,Western Africa
ID,360,IDN,INA,True,Asia,False,1904569.0,273523621,IDN,officially-assigned,True,South-Eastern Asia
YE,887,YEM,YEM,True,Asia,False,527968.0,29825968,YEM,officially-assigned,True,Western Asia
PS,275,PSE,PLE,False,Asia,False,6220.0,4803269,PLE,officially-assigned,False,Western Asia
GA,266,GAB,GAB,True,Africa,False,267668.0,2225728,GAB,officially-assigned,True,Middle Africa
ER,232,ERI,ERI,True,Africa,False,117600.0,5352000,ERI,officially-assigned,True,Eastern Africa
CY,196,CYP,CYP,True,Europe,False,9251.0,1207361,CYP,officially-assigned,True,Southern Europe
HK,344,HKG,HKG,False,Asia,False,1104.0,7500700,HKG,officially-assigned,False,Eastern Asia
BV,074,BVT,,False,Antarctic,False,49.0,0,,officially-assigned,False,
SK,703,SVK,SVK,True,Europe,True,49037.0,5458827,SVK,officially-assigned,True,Central Europe
SI,705,SVN,SLO,True,Europe,False,20273.0,2100126,SVN,officially-assigned,True,Central Europe
NU,570,NIU,,False,Oceania,False,260.0,1470,,officially-assigned,False,Polynesia
KI,296,KIR,KIR,True,Oceania,False,811.0,119446,,officially-assigned,True,Micronesia
DE,276,DEU,GER,True,Europe,False,357114.0,83240525,GER,officially-assigned,True,Western Europe
XK,000,UNK,KOS,True,Europe,True,10908.0,1775378,KVX,user-assigned,False,Southeast Europe
CI,384,CIV,CIV,True,Africa,False,322463.0,26378275,CIV,officially-assigned,True,Western Africa
LK,144,LKA,SRI,True,Asia,False,65610.0,21919000,SRI,officially-assigned,True,Southern Asia
MF,663,MAF,,False,Americas,False,53.0,38659,,officially-assigned,False,Caribbean
BE,056,BEL,BEL,True,Europe,False,30528.0,11555997,BEL,officially-assigned,True,Western Europe
