id_country,root,suffix,full_code
USA,+1,951,+1951
USA,+1,952,+1952
USA,+1,954,+1954
USA,+1,956,+1956
USA,+1,959,+1959
USA,+1,970,+1970
USA,+1,971,+1971
USA,+1,972,+1972
USA,+1,973,+1973
USA,+1,975,+1975
USA,+1,978,+1978
USA,+1,979,+1979
USA,+1,980,+1980
USA,+1,984,+1984
USA,+1,985,+1985
USA,+1,989,+1989
COK,+6,82,+682
COL,+5,7,+57
GIN,+2,24,+224
IRL,+3,53,+353
MDV,+9,60,+960
PAN,+5,07,+507
MOZ,+2,58,+258
OMN,+9,68,+968
CZE,+4,20,+420
HMD,,,
VCT,+1,784,+1784
HTI,+5,09,+509
NGA,+2,34,+234
VGB,+1,284,+1284
NAM,+2,64,+264
DMA,+1,767,+1767
CAN,+1,,
GGY,+4,4,+44
NER,+2,27,+227
IDN,+6,2,+62
YEM,+9,67,+967
PSE,+9,70,+970
GAB,+2,41,+241
ERI,+2,91,+291
CYP,+3,57,+357
HKG,+8,52,+852
BVT,+4,7,+47
