cca3,language,gender,demonym
CAN,eng,m,Canadian
CAN,fra,f,Canadienne
CAN,fra,m,Canadien
GGY,eng,f,Channel Islander
GGY,eng,m,Channel Islander
GGY,fra,f,Guernesiaise
GGY,fra,m,Guernesiais
NER,eng,f,Nigerien
NER,eng,m,Nigerien
NER,fra,f,Nigérienne
NER,fra,m,Nigérien
IDN,eng,f,Indonesian
IDN,eng,m,Indonesian
IDN,fra,f,Indonésienne
IDN,fra,m,Indonésien
YEM,eng,f,Yemeni
YEM,eng,m,Yemeni
YEM,fra,f,Yéménite
YEM,fra,m,Yéménite
PSE,eng,f,Palestinian
PSE,eng,m,Palestinian
PSE,fra,f,Palestinienne
PSE,fra,m,Palestinien
GAB,eng,f,Gabonese
GAB,eng,m,Gabonese
GAB,fra,f,Gabonaise
GAB,fra,m,Gabonais
ERI,eng,f,Eritrean
ERI,eng,m,Eritrean
ERI,fra,f,Érythréenne
ERI,fra,m,Érythréen
CYP,eng,f,Cypriot
CYP,eng,m,Cypriot
CYP,fra,f,Chypriote
CYP,fra,m,Chypriote
HKG,eng,f,Hong Konger
HKG,eng,m,Hong Konger
HKG,fra,f,Hongkongaise
HKG,fra,m,Hongkongais
BVT,eng,f,
BVT,eng,m,
BVT,fra,f,
BVT,fra,m,
SVK,eng,f,Slovak
SVK,eng,m,Slovak
SVK,fra,f,Slovaque
SVK,fra,m,Slovaque
SVN,eng,f,Slovene
SVN,eng,m,Slovene
SVN,fra,f,Slovène
SVN,fra,m,Slovène
NIU,eng,f,Niuean
NIU,eng,m,Niuean
NIU,fra,f,Niuéenne
NIU,fra,m,Niuéen
KIR,eng,f,I-Kiribati
KIR,eng,m,I-Kiribati
KIR,fra,f,Kiribatienne
KIR,fra,m,Kiribatien
DEU,eng,f,German
DEU,eng,m,German
DEU,fra,f,Allemande
DEU,fra,m,Allemand
UNK,eng,f,Kosovar
UNK,eng,m,Kosovar
UNK,fra,f,Kosovare
UNK,fra,m,Kosovar
CIV,eng,f,Ivorian
CIV,eng,m,Ivorian
CIV,fra,f,Ivoirienne
CIV,fra,m,Ivoirien
LKA,eng,f,Sri Lankan
LKA,eng,m,Sri Lankan
LKA,fra,f,Sri-lankaise
LKA,fra,m,Sri-lankais
MAF,eng,f,Saint Martin Islander
MAF,eng,m,Saint Martin Islander
MAF,fra,f,Saint-Martinoise
MAF,fra,m,Saint-Martinois
BEL,eng,f,Belgian
BEL,eng,m,Belgian
BEL,fra,f,Belge
BEL,fra,m,Belge
ISR,eng,f,Israeli
ISR,eng,m,Israeli
ISR,fra,f,Israélienne
ISR,fra,m,Israélien
ALA,eng,f,Ålandish
ALA,eng,m,Ålandish
ALA,fra,f,Ålandaise
ALA,fra,m,Ålandais
MNP,eng,f,American
MNP,eng,m,American
MNP,fra,f,Américaine
MNP,fra,m,Américan
DNK,eng,f,Danish
DNK,eng,m,Danish
DNK,fra,f,Danoise
DNK,fra,m,Danois
BMU,eng,f,Bermudian
BMU,eng,m,Bermudian
BMU,fra,f,Bermudienne
BMU,fra,m,Bermudien
GIB,eng,f,Gibraltar
GIB,eng,m,Gibraltar
GIB,fra,f,Gibraltarienne
GIB,fra,m,Gibraltarien
SYR,eng,f,Syrian
SYR,eng,m,Syrian
SYR,fra,f,Syrienne
SYR,fra,m,Syrien
TLS,eng,f,East Timorese
TLS,eng,m,East Timorese
TLS,fra,f,Est-timoraise
TLS,fra,m,Est-timorais
SMR,eng,f,Sammarinese
SMR,eng,m,Sammarinese
SMR,fra,f,Saint-Marinaise
SMR,fra,m,Saint-Marinais
GMB,eng,f,Gambian
GMB,eng,m,Gambian
GMB,fra,f,Gambienne
GMB,fra,m,Gambien
PER,eng,f,Peruvian
PER,eng,m,Peruvian
PER,fra,f,Péruvienne
PER,fra,m,Péruvien
GNB,eng,f,Guinea-Bissauan
GNB,eng,m,Guinea-Bissauan
GNB,fra,f,Bissau-Guinéenne
GNB,fra,m,Bissau-Guinéen
SLE,eng,f,Sierra Leonean
SLE,eng,m,Sierra Leonean
SLE,fra,f,Sierra-leonaise
SLE,fra,m,Sierra-leonais
TUR,eng,f,Turkish
